id,DateFrom,DateTo,min,mean,max
1,2021-10-14T00:00:00Z,2021-10-15T00:00:00Z,NaN,NaN,NaN
1,2021-10-15T00:00:00Z,2021-10-16T00:00:00Z,NaN,NaN,NaN
1,2021-10-16T00:00:00Z,2021-10-17T00:00:00Z,NaN,NaN,NaN
1,2021-10-17T00:00:00Z,2021-10-18T00:00:00Z,1837.171875,1866.017643,1906.07373
1,2021-10-18T00:00:00Z,2021-10-19T00:00:00Z,1899.366333,1944.860589,1980.871704
1,2021-10-19T00:00:00Z,2021-10-20T00:00:00Z,NaN,NaN,NaN
1,2021-10-20T00:00:00Z,2021-10-21T00:00:00Z,NaN,NaN,NaN
1,2021-10-21T00:00:00Z,2021-10-22T00:00:00Z,NaN,NaN,NaN
1,2021-10-22T00:00:00Z,2021-10-23T00:00:00Z,NaN,NaN,NaN
1,2021-10-23T00:00:00Z,2021-10-24T00:00:00Z,NaN,NaN,NaN
1,2021-10-24T00:00:00Z,2021-10-25T00:00:00Z,NaN,NaN,NaN
1,2021-10-25T00:00:00Z,2021-10-26T00:00:00Z,1822.715332,1846.991368,1865.941895
1,2021-10-26T00:00:00Z,2021-10-27T00:00:00Z,1816.762207,1823.578113,1859.134644
1,2021-10-27T00:00:00Z,2021-10-28T00:00:00Z,1860.043701,1873.570877,1886.229004
1,2021-10-28T00:00:00Z,2021-10-29T00:00:00Z,1862.172729,1878.08632,1892.908325
1,2021-10-29T00:00:00Z,2021-10-30T00:00:00Z,1864.912598,1894.557241,1922.443359
1,2021-10-30T00:00:00Z,2021-10-31T00:00:00Z,1891.927734,1892.075565,1892.193115
1,2021-10-31T00:00:00Z,2021-11-01T00:00:00Z,1845.930176,1853.982825,1871.449341
1,2021-11-01T00:00:00Z,2021-11-02T00:00:00Z,NaN,NaN,NaN
1,2021-11-02T00:00:00Z,2021-11-03T00:00:00Z,1897.841919,1911.260086,1921.246826
1,2021-11-03T00:00:00Z,2021-11-04T00:00:00Z,1899.365967,1909.244308,1931.463501
1,2021-11-04T00:00:00Z,2021-11-05T00:00:00Z,1887.46582,1919.778746,1946.058228
1,2021-11-05T00:00:00Z,2021-11-06T00:00:00Z,1871.973999,1883.00386,1923.042114
1,2021-11-06T00:00:00Z,2021-11-07T00:00:00Z,1813.033569,1832.061616,1872.489624
1,2021-11-07T00:00:00Z,2021-11-08T00:00:00Z,1889.579712,1905.02775,1930.549561
1,2021-11-08T00:00:00Z,2021-11-09T00:00:00Z,1907.359253,1925.267707,1946.1698
1,2021-11-09T00:00:00Z,2021-11-10T00:00:00Z,1878.316284,1907.051765,1970.58252
1,2021-11-10T00:00:00Z,2021-11-11T00:00:00Z,1848.894653,1862.725707,1880.708862
1,2021-11-11T00:00:00Z,2021-11-12T00:00:00Z,1784.067993,1841.616762,1880.729126
1,2021-11-12T00:00:00Z,2021-11-13T00:00:00Z,1891.960205,1909.838307,1939.431519
1,2021-11-13T00:00:00Z,2021-11-14T00:00:00Z,1945.599854,1959.711209,1973.549683
1,2021-11-14T00:00:00Z,2021-11-15T00:00:00Z,1916.580933,1952.192487,1979.930908
1,2021-11-15T00:00:00Z,2021-11-16T00:00:00Z,1862.534912,1886.233375,1902.76001
